Company Name,Price,Volume,MACD hist,ADX,ATR,EMA 200,RSI,Stochastic Oscillator,MACD hist sloap*,EMA 200 Sloap
Avenue Supermarts Ltd.,4537.35009765625,392704,-22.057889802838744,23.569895345109813,131.87587291455839,4094.587648702282,43.620540115635826,7.05191828038734,-12.292036103031293,0.0009807208531544915
Axis Bank Ltd.,1187.0,10449586,3.305256511804668,18.830091775795346,24.7999985028018,1050.6293584905686,69.17729474584256,90.10444768354849,1.57538151962863,0.0011546412899326591
BSE Ltd.,2703.5,666943,-20.826466300081798,17.918982096122694,125.24166741531029,2090.2232342502675,48.03338209022968,42.572386660600166,3.6082291974400853,0.002279854109644625
Bajaj Auto Ltd.,8998.7001953125,301732,-0.29368929667403165,13.231085716460768,209.21647724731605,7176.924025115829,54.70673994535071,76.26836558875394,7.0247145343179085,0.0020346614339613028
Bajaj Finance Ltd.,6895.5,655144,16.12911936980364,11.936497746713966,144.12723046596466,7001.929377733898,53.06984705343697,82.89952260395944,8.616041545544661,-0.00015512174422083034
Bajaj Finserv Ltd.,1595.800048828125,1364580,2.1080546547748753,11.455575420330861,31.774511997024284,1592.148098277377,48.226955777432,57.681230185688406,0.23211189564033496,2.2999761553745807e-05
Bajaj Holdings & Investment Ltd.,7988.2998046875,26182,-33.57286454416851,16.646502390626114,163.2276936462532,7822.1027713473195,37.24264653214013,4.287818515030746,-8.043413989011732,0.00020909605096921708
Balkrishna Industries Ltd.,3101.949951171875,383210,63.37328283560413,39.168254699030356,98.88244600798177,2435.879271450696,82.92754874525438,90.63186675100788,-2.287230448428545,0.002158054704625779
Bandhan Bank Ltd.,189.0500030517578,11741602,0.5010626487449399,11.845994817431855,5.16068823077201,211.04456780342448,54.88549311883322,84.1751360704638,0.18604271172687215,-0.0011692721420705613
Bank of Baroda,270.54998779296875,13751754,0.7344729756713836,10.532971136769794,7.882020710864687,234.88300339687083,56.06703666130702,88.62272458146431,0.23821133560604135,0.0013249387207844594
Bank of India,132.4499969482422,16853186,-0.2982760244773832,22.92515874276217,5.2898155442396435,120.01443155512426,47.04661125947261,43.79698460984238,0.5972148585771166,0.0009436055839516941
Bank of Maharashtra,70.5999984741211,60759143,0.38231764403367074,17.350706802745748,2.507279652077646,52.53670433789727,64.73692362501896,91.13299122582177,0.17893928806520665,0.0025713972876600997
Berger Paints India Ltd.,486.3500061035156,2500798,1.0574617860505509,36.68925172329942,10.75389366540105,549.4529447999523,35.039367554067155,19.90465714838595,0.07440535369065593,-0.0013039999608304635
Bharat Dynamics Ltd.,1544.8499755859375,5179740,59.40711310604216,34.628345238293896,85.85686694077098,796.6153868614085,89.5261786021749,84.91090202168508,4.584843576812233,0.004867751389561143
Bharat Electronics Ltd.,294.45001220703125,49875728,6.417895276502119,31.31657842862672,10.805299779317794,184.0668157558156,83.42411844306628,89.35523272434315,0.006792436023800974,0.003767630541058284
Bharat Forge Ltd.,1572.0,2894167,12.296444795379742,41.951658254816216,50.662054754186805,1151.0223934054131,80.52756751779168,95.02422385366268,0.17210828936396183,0.0026914317554347926
Bharat Heavy Electricals Ltd.,298.54998779296875,26496449,0.15186636239211282,31.99203675710502,12.188313010275596,201.52792231022357,57.72683059364457,56.807922570674734,-0.7614726902667535,0.0032661067672901203
Bharat Petroleum Corporation Ltd.,656.0499877929688,6245124,4.068353256625862,13.601165599523359,20.894403881882994,509.7887310623541,62.981891725511055,90.04094268939429,0.1724354586285708,0.0022406255720654814
Bharti Airtel Ltd.,1384.3499755859375,6552424,5.695486997760451,25.154558368015522,28.339489507867082,1096.0844729896432,71.69681051685924,83.46109347228882,0.23941250818491966,0.0020927805690065995
Biocon Ltd.,314.95001220703125,11533162,0.0728729374424475,36.63825107599552,11.520432317415892,270.06425404851706,61.49640169981862,58.634039065658435,-0.12905755257490092,0.0014323325284559668
Bosch Ltd.,31566.44921875,121380,53.230742337638844,30.511891733491705,827.4862453234526,25099.29181582396,62.97115253931514,78.39837918804142,27.39383714546284,0.0020590392147978196
Britannia Industries Ltd.,5212.25,329998,14.841714366624302,23.100594948275138,117.1405704809031,4844.396417952046,61.1833406409909,72.713529856387,-5.822790886703274,0.0007092946280600104
CG Power and Industrial Solutions Ltd.,651.0,2356225,2.962763798132748,40.375312508727866,23.627950600517547,466.1420138766909,74.01582480551967,86.9895170391128,-0.6799245870127493,0.0028538697500298917
Canara Bank,117.0,34576034,0.23011062029091822,17.97361266914579,3.6527953061183127,96.76923942568794,50.82719768385001,75.98566876716615,0.061614488489513564,0.0017378139049360052
Cholamandalam Investment and Finance Company Ltd.,1270.0,1089466,-3.8158659015831553,24.075049879385897,38.38484593959272,1140.4455551599306,55.685314081246425,46.750949997497905,-0.48756904080991603,0.0010252399385911653
Cipla Ltd.,1478.6500244140625,1393081,12.953349586780957,21.475124535868417,38.71267765112098,1311.0552504134196,59.38091755989793,86.17190728133257,-0.7722028597093207,0.001139126608822651
Coal India Ltd.,494.45001220703125,8810088,4.067441678621449,24.927153498557626,14.876825302030685,380.8367933604766,64.0881478003301,82.24364077047964,-0.6190843420953955,0.0023093161437008547
Coforge Ltd.,5263.60009765625,1581586,115.61144108154042,35.086186068259,152.14334363982906,5417.513650057291,62.343874086214605,95.18402121922983,14.200150272079213,-0.0002938805845195988
Colgate Palmolive (India) Ltd.,2667.39990234375,458610,-17.199064060106544,12.87222309403856,70.79482388258747,2388.76719476181,42.44683558075311,8.794226806626549,-0.30060533902418385,0.0010498346037112524
Container Corporation of India Ltd.,1103.050048828125,2769421,4.9747163638528065,27.56179654854099,35.716540710310426,866.960703586163,67.0998004585984,88.12127512455514,-0.5276142671086106,0.002151087560472371
Cummins India Ltd.,3805.25,2513976,8.346827899983168,55.582373201402376,105.48430366876937,2475.063556854955,76.01634495025263,85.216240070609,-1.2839724799175087,0.0035132272442828277
DLF Ltd.,842.5,3490428,-0.03392443396274025,27.980168428230712,23.695963276724694,731.9286652043057,43.730357721823246,37.796226524251345,0.3077577195763883,0.0013190144764856906
Dabur India Ltd.,567.4000244140625,3169645,1.7863483068509645,28.865112408251832,11.649654352579933,538.6579875653225,68.85968182604469,91.04669455963894,0.5028520742099296,0.0005091023608000349
Dalmia Bharat Ltd.,1807.6500244140625,305435,11.478214584605794,29.453564670869522,43.73555343721635,2026.617573436311,45.85476539426402,67.44186046511628,-0.5341250872404899,-0.001217425306294424
Deepak Nitrite Ltd.,2344.60009765625,179358,-24.290255621899576,27.24946767008916,74.09695315167905,2236.5201714021237,44.65208630024912,9.730117339004375,-2.7412171203127613,0.00046329027099344415
Delhivery Ltd.,413.8999938964844,1679620,-4.686041134736243,20.71746035443431,16.597175159700985,427.0174020218353,39.329939122096114,39.446575394116586,0.9586245292635205,-0.00031851473649430016
Divi's Laboratories Ltd.,4255.25,2534390,23.636766999147767,29.134500000665778,110.10717478229483,3691.445365859521,74.9246882275651,83.66141732283465,9.533654429099215,0.001331620523486915
Dixon Technologies (India) Ltd.,9264.7001953125,253042,69.95596175679566,33.67685495000935,265.136831481794,6454.348128948878,71.35342275923888,85.63301874592746,-5.635943475554541,0.0030486409479125983
Dr. Lal Path Labs Ltd.,2632.35009765625,109773,20.374476004935303,27.681387903579953,76.64874524004433,2371.627694866898,71.49141763591523,96.49733647415732,-1.0553803558644788,0.0009954320508155114
Dr. Reddy's Laboratories Ltd.,5872.7001953125,673126,-8.191636385619375,20.414793989895653,123.09486538851154,5780.09209273526,41.58130932343086,25.538251998829953,4.967737057967838,0.0001584849674451323
Eicher Motors Ltd.,4793.2998046875,655453,-2.318926952556467,44.72944677253384,114.013937986294,3926.9002634801104,66.57743547732193,69.79190510605355,-2.5472975874847634,0.0018166051430678531
Escorts Kubota Ltd.,3855.0,211336,7.7433231189313005,62.65396815155196,98.15203740998076,2974.242161885191,76.61286553873586,83.68243726060221,-3.5901595725071616,0.002296196515951552
FSN E-Commerce Ventures Ltd.,166.8000030517578,4868486,-0.7104785181589179,17.550458358034472,6.190795073110548,162.53744145895297,42.6166307634495,8.053702730196008,-0.40126525437587635,0.0002568334185806685
Federal Bank Ltd.,163.64999389648438,17955124,-0.1353853516097474,19.10795623080103,3.409958415063303,149.04022458265663,58.957242579064406,82.48582310476161,-0.014171263167904957,0.0008972310288820417
Fertilisers and Chemicals Travancore Ltd.,710.6500244140625,516484,4.032780779951568,15.55821314459702,30.427078847828312,646.5917672698832,56.058389084437934,67.90499924068574,0.30478811389245575,0.0009059333810187864
Fortis Healthcare Ltd.,454.95001220703125,1475429,0.1672692098708648,25.54932436630412,13.925722067990487,393.72874586000376,54.12035348540336,46.094623938935314,-0.7184684678618227,0.0013524323387320947
GAIL (India) Ltd.,202.4499969482422,15753369,-0.05273625898771117,14.085307990907324,7.330032853393338,161.87001096082614,53.842059295117686,63.04798650855289,0.023668392051267917,0.0020145174675116144
GMR Airports Infrastructure Ltd.,88.19999694824219,64813236,0.5563034255415522,16.005647227549485,3.0534837239876187,72.62525064386399,59.625173261766726,87.24277483869955,0.04845050833969944,0.0017747179028100417
Gland Pharma Ltd.,1866.4000244140625,747118,18.146618720232112,27.755017503209586,60.73835043991126,1740.1320403271573,65.5408964831586,62.330331189050945,-0.7224198702903877,0.0006799319272919274
Godrej Consumer Products Ltd.,1328.949951171875,786072,0.21917708421337778,32.75155358874397,34.296432955782365,1142.9855692054298,61.57681893623175,58.41206950859166,0.6390976897588061,0.0014063650492133145
Godrej Properties Ltd.,2843.300048828125,1789437,-7.858532879446642,25.158650363852104,107.40276127186607,2158.282273600072,59.77532778965355,72.41956837156587,2.0309038443023297,0.0024213416234064008
Grasim Industries Ltd.,2390.64990234375,888609,-3.2784546677349056,10.459756748679471,53.998489284409914,2103.87579013667,52.046917776362086,48.87600452090027,-3.631901832358608,0.0012055934575166407
Gujarat Gas Ltd.,554.4000244140625,576572,1.8692706364283564,13.376937683733212,15.595989976058034,514.4703429158426,53.04821051143565,71.38497492090919,-0.4237341874750702,0.0007238515764218048
HCL Technologies Ltd.,1353.300048828125,1942110,10.026492268747198,36.493172955319515,27.36588328135397,1399.5845404490444,40.2506923142033,88.51764528674506,0.7969647054204145,-0.00034373069775778107
HDFC Asset Management Company Ltd.,3919.89990234375,1144508,13.482736824918518,12.600032757705057,99.33521309350552,3255.188002547566,61.979798103969344,79.65445169588415,6.215580401575247,0.0017042582138379716
HDFC Bank Ltd.,1527.699951171875,14690537,5.226663893259137,22.654879399540647,26.058306384559536,1523.9813902881713,60.97075224892025,85.36374283017348,2.8983286871672593,2.446322732706672e-05
HDFC Life Insurance Company Ltd.,564.25,2624817,2.5686188663301195,25.679694897809274,11.860499229985706,605.6542513588552,43.094443778396695,77.20588235294117,0.03164829829409754,-0.000737480069534309
Havells India Ltd.,1887.300048828125,997996,12.914743237777842,57.08645373548654,44.7977729513094,1451.3053096255558,81.95597555421365,85.97472309390058,-1.2546553063269243,0.002321759424593667
Hero MotoCorp Ltd.,5083.89990234375,380920,25.216689869576413,28.834102053256466,127.1791960739735,4045.8067996577342,66.08305031165301,85.41799617102744,-9.254518108202433,0.0020521836994858863
Hindalco Industries Ltd.,677.8499755859375,10474220,1.186735583234686,40.242855535676064,18.88530413284321,545.3380668615459,65.94682976184143,76.02066280169228,-0.39425758249162257,0.0019647090434404867
Hindustan Aeronautics Ltd.,5142.35009765625,4224936,101.24374076965915,45.89916086013124,185.89110504414504,2934.848182596565,83.93829091034836,86.19508480704452,-2.5163506325459934,0.004314359869271444
Hindustan Petroleum Corporation Ltd.,557.1500244140625,10982040,4.256541111518301,14.757483640794698,21.4536808906663,414.86898617454165,68.6359978096961,92.27301065137563,1.188925424449348,0.0025665621837055877
Hindustan Unilever Ltd.,2384.5,1116876,7.100003219381787,29.14934026772257,38.42758922975844,2424.595984165008,61.56001827456608,89.0386970386139,0.11271305681172805,-0.0001689975740097565
ICICI Bank Ltd.,1129.800048828125,11598433,-1.4758674909253156,11.599612052974276,21.122860119519583,1025.604922143131,55.1395289050315,58.005597585845656,0.15120855497092833,0.0009268783480319945
ICICI Lombard General Insurance Company Ltd.,1623.550048828125,692685,-5.319396354697476,12.399761953491565,40.74842678200214,1513.6021343612153,40.317667677452135,7.370731748383621,-1.6713985244902814,0.0006806098563418208
ICICI Prudential Life Insurance Company Ltd.,572.9000244140625,824122,-0.9530589142494357,17.135852488383414,15.015658820856292,550.1164180907451,44.53936891083069,17.852574529168944,-0.5534006678580399,0.0003996874817865835
IDBI Bank Ltd.,89.6500015258789,19523529,0.3619045751775183,16.704448199406198,3.0354255253423377,75.30491814895083,59.11055177924666,85.91549497570415,0.18745544577987178,0.001608161626063241
IDFC First Bank Ltd.,78.6500015258789,63927889,0.09601286099854989,18.41938361954518,1.5763110610979179,80.4860494480775,48.71360414124318,69.30699351727493,0.11167623479076194,-0.00023461846889587143
ITC Ltd.,431.5,11815708,-0.25950291586195906,13.795060041285538,7.7948242044544775,429.67194731204364,48.66936844099968,37.229453814762316,-0.4128896837283378,4.257795787649326e-05
Indian Bank,579.25,2666328,5.17889893782465,21.018889890705733,21.716970709001068,459.05253458611924,65.09977192970898,82.47908061651889,0.17128869166493033,0.002085480755766437
Indian Hotels Co. Ltd.,581.0999755859375,8921870,1.8119038250782618,24.842025076793906,15.08942274889072,491.8333232388913,54.803794119259265,89.32800984282837,0.8174855876846188,0.0015438862890853448
Indian Oil Corporation Ltd.,168.89999389648438,14356617,0.9023363430580513,11.8705556722451,4.661226625973332,138.87657706526343,54.65752811000758,90.12736717804678,0.09013834270684806,0.0017865180203072094
Indian Railway Catering And Tourism Corporation Ltd.,1101.25,2679221,7.565782015537117,30.335291123174898,29.567206330252752,873.0353701841168,63.97633251277364,77.23698980853267,-1.809616483111224,0.0020827372258877346
Indian Railway Finance Corporation Ltd.,184.5500030517578,87113796,3.169891579179586,25.23349160790952,8.109169853209984,115.00648503157939,71.00047976407049,83.61469910641391,-0.1213367512567185,0.0037872111503163258
Indraprastha Gas Ltd.,461.1499938964844,2492856,1.464672541321423,11.975398702683819,14.782727341817667,437.5395212440207,58.58781359466841,80.12341157889661,0.6837446323931705,0.0005145639934456676
